data.name,date,eur,inr,usd,btc,eth,ltc,xrp
Bitcoin,01-07-2021,29666.79698,2615845.881,35171.4863,1,15.43054513,243.0050261,50040.10994
Ethereum,01-07-2021,1922.612442,169524.8004,2279.354161,0.064881998,1,15.74839666,3242.943214
Dogecoin,01-07-2021,0.213914354,18.86351459,0.253630327,7.22E-06,0.000111166,0.001756534,0.362650584
Binance Coin,01-07-2021,256.1794136,22590.55562,303.7424427,0.008642838,0.133130516,2.103588411,434.3028518
Nano,01-07-2021,4.375388529,385.8329463,5.18773613,0.000147614,0.002273788,0.03592801,7.417628487
Litecoin,01-07-2021,121.7900651,10739.7593,144.4019695,0.004108885,0.06329148,1,206.4715967
Dash,01-07-2021,123.4864142,10889.3477,146.4132678,0.00416642,0.064176719,1.014002607,209.2807657
Swipe,01-07-2021,1.716962033,151.4061015,2.035738292,5.79E-05,0.000892317,0.014098749,2.909851512
NEO,01-07-2021,30.95257362,2729.477073,36.69932017,0.001044337,0.01608626,0.254165534,52.45741688
NEM,01-07-2021,0.111994939,9.876000043,0.132788251,3.78E-06,5.82E-05,,
Cosmos,01-07-2021,10.14833619,894.9062299,12.03250636,0.000342379,0.005273856,,
Filecoin,01-07-2021,51.06241375,4502.814187,60.54281281,0.001722841,0.026537479,,
XRP,01-07-2021,0.59009457,52.03604778,0.699653277,1.99E-05,0.000306658,,
TRON,01-07-2021,0.057556981,5.075521698,0.06824318,1.94E-06,2.99E-05,,
Cardano,01-07-2021,1.168260187,103.0201699,1.385162835,3.94E-05,0.000607118,,
Chainlink,01-07-2021,16.49932097,1454.952304,19.5626338,0.000556645,0.008574315,,
Tether,01-07-2021,0.847089887,74.70532472,1.004459573,2.87E-05,0.000444059,,
Uniswap,01-07-2021,16.25015351,1432.98008,19.26720517,0.000548239,0.008444829,,
Stellar,01-07-2021,0.238378438,21.01882639,0.282609679,8.04E-06,0.000123987,,
Status,01-07-2021,0.067300024,5.934688152,0.079795146,2.27E-06,3.50E-05,,
Bitcoin,02-07-2021,28430.0289,2510987.08,33677.56624,1,15.86210665,,
Ethereum,02-07-2021,1790.993274,158190.0408,2121.657901,0.063073808,1,,
Dogecoin,02-07-2021,0.207456314,18.32364375,0.245758224,7.31E-06,0.00011577,,
Binance Coin,02-07-2021,244.1212289,21562.08386,289.1924507,0.008597272,0.136231165,,
Nano,02-07-2021,4.096840722,361.8547375,4.853225645,0.000144279,0.00228623,,
Litecoin,02-07-2021,116.6089893,10299.52544,138.1380864,0.004106645,0.065073318,,
Dash,02-07-2021,117.6953816,10395.05037,139.4192747,0.004145021,0.065666366,,
Swipe,02-07-2021,1.620149813,143.0943057,1.919192654,5.71E-05,0.000903938,,
NEO,02-07-2021,29.02564875,2563.6995,34.38454957,0.001022203,0.016197682,,
NEM,02-07-2021,0.109499125,9.671143505,0.129710176,3.86E-06,6.11E-05,,
Cosmos,02-07-2021,9.476658468,837.0288218,11.22629973,0.000333742,0.005288423,,
Filecoin,02-07-2021,48.24939266,4261.466002,57.1551342,0.001699257,0.026920022,,
XRP,02-07-2021,0.560406608,49.49808888,0.663872459,1.97E-05,0.000312733,,
TRON,02-07-2021,0.054902665,4.849093982,0.065036449,1.93E-06,3.06E-05,,
Cardano,02-07-2021,1.129153288,99.7328172,1.337624787,3.98E-05,0.000630121,,
Chainlink,02-07-2021,15.47830086,1367.125763,18.33600371,0.000545103,0.008637622,,
Tether,02-07-2021,0.845521598,74.6812249,1.00163076,2.98E-05,0.000469889,,
Uniswap,02-07-2021,15.16726261,1339.597669,17.96679465,0.000534205,0.008463148,,
Stellar,02-07-2021,0.228844025,20.21272008,0.271094672,8.06E-06,0.000127706,,
Status,02-07-2021,0.061152075,5.401052175,0.072439358,2.15E-06,3.41E-05,,
Bitcoin,03-07-2021,28614.60563,2528724.046,33950.78656,1,15.73360857,,
Ethereum,03-07-2021,1818.717862,160723.361,2157.880585,0.063704575,1,,
Dogecoin,03-07-2021,0.206956133,18.28908484,0.245550248,7.25E-06,0.000113802,,
Binance Coin,03-07-2021,242.8789998,21463.65304,288.1721729,0.008511171,0.133685169,,
Nano,03-07-2021,4.11183612,363.3703362,4.878629895,0.000144038,0.002261661,,
Litecoin,03-07-2021,115.9109981,10243.26289,137.5266046,0.004060036,0.063733126,,
Dash,03-07-2021,114.4792465,10116.73644,135.8278536,0.004011296,0.062985773,,
Swipe,03-07-2021,1.596067511,141.0473499,1.893709391,5.59E-05,0.000877896,,
NEO,03-07-2021,29.9191897,2644.012481,35.49865535,0.001048453,0.016468085,,
NEM,03-07-2021,0.111683041,9.869630733,0.132510199,3.91E-06,6.14E-05,,
Cosmos,03-07-2021,9.876051945,872.7644321,11.71778273,0.000346085,0.005435965,,
Filecoin,03-07-2021,48.40492448,4277.630035,57.43169347,0.001695624,0.02662449,,
XRP,03-07-2021,0.551775069,48.76135298,0.654672577,1.93E-05,0.000303391,,
TRON,03-07-2021,0.056165035,4.963404936,0.066638945,1.97E-06,3.09E-05,,
Cardano,03-07-2021,1.175819572,103.9092855,1.395091718,4.12E-05,0.000646519,,
Chainlink,03-07-2021,15.44844894,1365.207154,18.32934549,0.000541116,0.008494258,,
Tether,03-07-2021,0.846470177,74.80408845,1.00432376,2.98E-05,0.000467622,,
Uniswap,03-07-2021,15.36665721,1357.979071,18.23230086,0.000538491,0.008458097,,
Stellar,03-07-2021,0.223641275,19.76358078,0.26534691,7.84E-06,0.000123096,,
Status,03-07-2021,0.05787038,5.11410936,0.06866231,2.03E-06,3.18E-05,,
Bitcoin,04-07-2021,29271.25492,2586784.718,34729.89078,1,15.58736587,,
Ethereum,04-07-2021,1878.265047,165987.6672,2228.532399,0.064273728,1,,
Dogecoin,04-07-2021,0.208339127,18.41152598,0.247191149,7.12E-06,0.00011069,,
Binance Coin,04-07-2021,251.5119582,22226.83283,298.4150444,0.008606672,0.133933749,,
Nano,04-07-2021,4.16372875,367.9606471,4.940199698,0.000142469,0.002216602,,
Litecoin,04-07-2021,118.2575861,10450.76193,140.310795,0.004039541,0.062830148,,
Dash,04-07-2021,116.6097926,10305.14169,138.3557135,0.003987326,0.062036446,,
Swipe,04-07-2021,1.635961131,144.5745755,1.941042553,5.60E-05,0.00087092,,
NEO,04-07-2021,30.60448733,2704.606289,36.31175039,0.001045413,0.016260136,,
NEM,04-07-2021,0.114308643,10.10178254,0.135625436,3.91E-06,6.08E-05,,
Cosmos,04-07-2021,9.94210923,878.6126967,11.79615867,0.000340216,0.005294317,,
Filecoin,04-07-2021,49.54901899,4378.788865,58.78914389,0.001695407,0.026377908,,
XRP,04-07-2021,0.568711755,50.25868829,0.674767692,1.94E-05,0.000302156,,
TRON,04-07-2021,0.056401121,4.984328787,0.066919057,1.93E-06,3.00E-05,,
Cardano,04-07-2021,1.188060646,104.9923255,1.409615562,4.06E-05,0.000631216,,
Chainlink,04-07-2021,15.60054272,1378.664687,18.5098024,0.000533846,0.008307514,,
Tether,04-07-2021,0.845544292,74.72317327,1.003225211,2.90E-05,0.000453534,,
Uniswap,04-07-2021,16.36475354,1446.200188,19.41652671,0.000559997,0.008714468,,
Stellar,04-07-2021,0.224155497,19.80926394,0.265957027,7.66E-06,0.000119094,,
Status,04-07-2021,0.063520152,5.613457977,0.075365677,2.17E-06,3.38E-05,,
Bitcoin,05-07-2021,29847.12582,2636233.406,35394.21307,1,15.1972003,,
Ethereum,05-07-2021,1963.996139,173469.039,2329.004751,0.065698566,1,,
Dogecoin,05-07-2021,0.208117215,18.38185549,0.246795791,6.96E-06,0.000105967,,
Binance Coin,05-07-2021,259.9474854,22959.73988,308.2587162,0.008695627,0.132356932,,
Nano,05-07-2021,4.164182415,367.7737298,4.937750096,0.00013927,0.002119043,,
Litecoin,05-07-2021,122.6824903,10835.87349,145.4830267,0.00410391,0.062465994,,
Dash,05-07-2021,118.8585319,10497.3897,140.9385249,0.003975201,0.060483985,,
Swipe,05-07-2021,1.711356063,151.1441478,2.029269548,5.72E-05,0.000870864,,
NEO,05-07-2021,31.6974478,2799.662228,37.58841733,0.001060326,0.016139325,,
NEM,05-07-2021,0.116556013,10.294035,0.138208274,3.90E-06,5.93E-05,,
Cosmos,05-07-2021,10.30559533,910.2368803,12.22088985,0.000344737,0.005247279,,
Filecoin,05-07-2021,49.86464511,4403.963297,59.12785072,0.001667713,0.025374808,,
XRP,05-07-2021,0.587679328,51.90650139,0.69689951,1.97E-05,0.000299227,,
TRON,05-07-2021,0.056894483,5.025178552,0.067468321,1.90E-06,2.90E-05,,
Cardano,05-07-2021,1.228390259,108.4969942,1.456686545,4.11E-05,0.000625457,,
Chainlink,05-07-2021,16.28067164,1437.982696,19.30643387,0.000544612,0.008289596,,
Tether,05-07-2021,0.839161081,74.14322631,0.99514628,2.81E-05,0.000429474,,
Uniswap,05-07-2021,17.60098683,1554.598917,20.8721296,0.000588779,0.008961859,,
Stellar,05-07-2021,0.227205282,20.0678001,0.269431375,7.60E-06,0.000115686,,
Status,05-07-2021,0.063793009,5.634093458,0.075643645,2.13E-06,3.25E-05,,
Bitcoin,06-07-2021,28593.68153,2521472.436,33928.13422,1,15.29985737,,
Ethereum,06-07-2021,1868.679917,164785.5278,2217.301853,0.065245581,1,,
Dogecoin,06-07-2021,0.196250282,17.30254293,0.232817536,6.86E-06,0.000105257,,
Binance Coin,06-07-2021,256.2721546,22594.41314,304.0232646,0.008952888,0.137449544,,
Nano,06-07-2021,3.884190643,342.5190153,4.60882735,0.000135618,0.002078575,,
Litecoin,06-07-2021,116.6751384,10286.7449,138.4151803,0.004076055,0.062577788,,
Dash,06-07-2021,112.6614284,9934.806257,133.6796053,0.003933611,0.060289313,,
Swipe,06-07-2021,1.658271445,146.2311083,1.967639463,5.79E-05,0.000887403,,
NEO,06-07-2021,30.49532784,2689.165034,36.18455269,0.001064755,0.016317387,,
NEM,06-07-2021,0.111359003,9.818044092,0.132108491,3.89E-06,5.96E-05,,
Cosmos,06-07-2021,11.45557514,1010.185307,13.59273343,0.000399975,0.006129629,,
Filecoin,06-07-2021,47.55829152,4193.825864,56.4307921,0.001660514,0.025450207,,
XRP,06-07-2021,0.555420452,48.97856044,0.659039991,1.94E-05,0.000297193,,
TRON,06-07-2021,0.054704368,4.823048715,0.064897415,1.91E-06,2.93E-05,,
Cardano,06-07-2021,1.192656962,105.1514324,1.414884359,4.17E-05,0.000639672,,
Chainlink,06-07-2021,15.58268185,1374.125355,18.48979541,0.000544075,0.008337954,,
Tether,06-07-2021,0.846097183,74.6025993,1.003829993,2.94E-05,0.000448013,,
Uniswap,06-07-2021,17.04721585,1503.272141,20.22755365,0.000595209,0.009121595,,
Stellar,06-07-2021,0.216705457,19.10598769,0.257084117,7.57E-06,0.000116228,,
Status,06-07-2021,0.061705281,5.441347783,0.073217052,2.15E-06,3.30E-05,,
Bitcoin,07-07-2021,28883.65159,2553433.738,34149.98981,1,14.71653363,,
Ethereum,07-07-2021,1962.782091,173518.0192,2320.654929,0.067951192,1,,
Dogecoin,07-07-2021,0.197891658,17.49346537,0.23396012,6.85E-06,0.000100725,,
Binance Coin,07-07-2021,270.9776467,23954.20868,320.3670298,0.009375906,0.137924766,,
Nano,07-07-2021,3.916725755,346.235445,4.630602606,0.000135582,0.001995292,,
Litecoin,07-07-2021,117.2017736,10360.54367,138.5634002,0.004055216,0.059654468,,
Dash,07-07-2021,113.950445,10073.12881,134.7194725,0.00394408,0.058042266,,
Swipe,07-07-2021,1.763257929,155.8706,2.084635808,6.10E-05,0.000898254,,
NEO,07-07-2021,31.11378848,2750.434182,36.78470208,0.001077044,0.015850253,,
NEM,07-07-2021,0.113212024,10.00785294,0.133846464,3.92E-06,5.77E-05,,
Cosmos,07-07-2021,11.11234604,982.3225617,13.13772313,0.000384668,0.005660947,,
Filecoin,07-07-2021,48.12183285,4253.931792,56.89269521,0.001665604,0.024511534,,
XRP,07-07-2021,0.563571402,49.81926416,0.666289999,1.95E-05,0.000286852,,
TRON,07-07-2021,0.054934066,4.856397668,0.06495016,1.90E-06,2.80E-05,,
Cardano,07-07-2021,1.195726092,105.7012366,1.41366353,4.14E-05,0.000609137,,
Chainlink,07-07-2021,16.91516399,1495.37015,19.99929532,0.0005856,0.008618459,,
Tether,07-07-2021,0.848132456,74.96005571,1.002526559,2.94E-05,0.000432408,,
Uniswap,07-07-2021,18.89872814,1670.725389,22.34452149,0.000654271,0.009629107,,
Stellar,07-07-2021,0.220495399,19.49270124,0.260698188,7.63E-06,0.000112345,,
Status,07-07-2021,0.061349454,5.423242993,0.072531231,2.12E-06,3.13E-05,,
Bitcoin,08-07-2021,28773.16071,2538884.382,33932.25464,1,14.64381686,,
Ethereum,08-07-2021,1964.55348,173380.6594,2317.236943,0.068201052,1,,
Dogecoin,08-07-2021,0.190767805,16.83611479,0.225015104,6.62E-06,9.71E-05,,
Binance Coin,08-07-2021,278.3228334,24563.23885,328.2883149,0.009662201,0.141672041,,
Nano,08-07-2021,3.914778989,345.496811,4.617573707,0.000135905,0.001992707,,
