data.name,date,aed,ars,aud,bch,bdt,bhd,bmd,bnb,brl,btc,cad,chf,clp,cny,czk,dkk,dot,eos,eth,eur,gbp,hkd,huf,idr,ils,inr,jpy,krw,kwd,lkr,ltc,mmk,mxn,myr,ngn,nok,nzd,php,pkr,pln,rub,sar,sek,sgd,thb,try,twd,uah,usd,vef,vnd,xag,xau,xdr,xlm,xrp,yfi,zar,bits,link,sats
Bitcoin,01-07-2021,129191.9035,3366364.952,46907.8244,66.62209134,2983883.655,13260.38894,35171.4863,115.7911049,174826.907,1,43596.67516,32540.6943,25756086.53,227109.3214,756515.809,220604.8825,2143.522157,8499.564739,15.43054513,29666.79698,25431.72797,273101.3154,10420959.68,511593888.3,114616.4879,2615845.881,3908853.473,39766589.01,10581.30648,7002674.894,243.0050261,57915042.39,701286.3757,146014.4254,14425888.08,302785.4168,50273.84115,1717356.077,5545194.001,134165.8551,2569991.056,131908.8305,300728.5179,47309.16623,1126190.991,306289.2003,978959.6678,961717.3039,35171.4863,3521.720924,811792774.9,1348.417104,19.89510294,24641.74122,124495.9847,50040.10994,1.04035061,501998.4738,1001159.159,1799.939999,100115915.9
Ethereum,01-07-2021,8372.523706,218163.5969,3039.949572,4.317569631,193376.1789,859.3643853,2279.354161,7.504059809,11329.98573,0.064881998,2825.364333,2108.860749,1669171.513,14718.24569,49027.42643,14296.71333,138.9149752,550.8302404,1,1922.612442,1648.150848,17698.84316,675349.8445,33154801.83,7427.936548,169524.8004,253320.5834,2577148.414,685.7414201,453821.4855,15.74839666,3753292.987,45448.17939,9462.738801,934896.7437,19622.57704,3258.090603,111296.4828,359366.7016,8694.869971,166553.0924,8548.599256,19489.27585,3065.959283,72984.92025,19849.64631,63443.31807,62325.89433,2279.354161,228.2317322,52609753.93,87.38670041,1.289339475,1596.954275,8068.195877,3242.943214,0.067421873,32532.95298,64881.99777,116.6484888,6488199.777
Dogecoin,01-07-2021,0.931634916,24.27495856,0.338254085,0.000481485,21.51752642,0.095623959,0.253630327,0.000835042,1.260694901,7.22E-06,0.314351963,0.234651676,185.7335477,1.637741745,5.455284222,1.590790967,0.015453956,0.06138641,0.000111166,0.213914354,0.183394763,1.969321548,75.18744216,3689.230641,0.826527972,18.86351459,28.18631864,286.5867986,0.07630443,50.49802857,0.001756534,417.6397604,5.057182257,1.052946301,104.0286632,2.183418515,0.362559479,12.38469555,39.98777172,0.967553028,18.53284405,0.951227351,2.168188268,0.341160689,8.126315663,2.207985656,7.061042929,6.93518243,0.253630327,0.025396005,5854.039401,0.009720618,0.000143438,0.177697719,0.898233754,0.362650584,7.50E-06,3.620083152,7.216923059,0.012965058,721.6923059
Binance Coin,01-07-2021,1115.70674,29071.18919,405.0861087,0.576616609,25768.94539,114.5172795,303.7424427,1,1509.782185,0.008642838,376.4614209,281.0140032,222430.6621,1961.325701,6533.135754,1905.098418,18.50733873,73.51509668,0.133130516,256.1794136,219.6297817,2358.418827,90042.92841,4418146.448,989.8328347,22590.55562,33755.35327,343210.4331,91.38061013,60475.39644,2.103588411,500156.7545,6056.37706,1260.986751,124582.5793,2614.816935,434.1937469,14831.65569,47888.52982,1158.72153,22194.55141,1139.170237,2596.577505,408.566997,9731.907863,2644.238036,8456.159229,8305.431295,303.7424427,30.41373078,7010676.724,11.6412116,0.171778501,212.8071189,1075.706198,434.3028518,0.008978397,4335.336842,8642.838055,15.52668596,864283.8055
Nano,01-07-2021,19.05559235,496.518225,6.918624289,0.009848261,440.11791,1.955885463,5.18773613,0.017079894,25.78616121,0.000147614,6.429732037,4.799548211,3798.980387,33.49824974,111.5819841,32.53792196,0.316094086,1.255593126,0.002273788,4.375388529,3.751143053,40.28035875,1537.878437,75459.25342,16.90574262,385.8329463,576.5208977,5861.825395,1.560725227,1032.882979,0.03592801,8542.373081,103.4392356,21.53688654,2127.794661,44.65948245,7.415765043,253.315656,817.906955,19.79025879,379.0694353,19.45633459,44.34796408,6.978075745,166.2150656,45.16197695,144.4260551,141.8517137,5.18773613,0.519448019,119738.0933,0.198824812,0.002933872,3.634616124,18.37240743,7.417628487,0.000153346,74.04491573,147.6144158,0.26518635,14761.44158
Litecoin,01-07-2021,530.4173142,13820.7125,192.5816866,0.274128875,12250.79522,54.44257492,144.4019695,0.475423241,717.7644294,0.004108885,178.973245,133.5966589,105745.5962,932.4323971,3105.913225,905.7014266,8.798560184,34.9497576,0.06329148,121.7900651,104.4140317,1121.214146,42807.24183,2100427.727,470.575694,10739.7593,16047.60747,163165.4175,43.44318811,28750.56338,1,237779.1518,2879.257728,599.4847762,59227.71165,1243.10818,206.4197273,7051.106436,22766.65046,550.8669435,10551.49523,541.5720775,1234.436986,194.2365331,4626.639101,1257.095244,4020.136389,3948.478934,144.4019695,14.4589692,3332940.623,5.534339773,0.08166509,101.1704746,511.4006862,206.4715967,0.004268413,2061.059274,4108.885231,7.38153026,410888.5231
Dash,01-07-2021,537.8052152,14013.21386,195.2640546,0.277978766,12421.43004,55.20087663,146.4132678,0.482066227,727.7617888,0.00416642,181.4660682,135.4574558,107218.4704,945.4197527,3149.17384,918.3164606,8.921761753,35.43924928,0.064176719,123.4864142,105.8683593,1136.830942,43403.48117,2129683.469,477.1300929,10889.3477,16271.12607,165438.062,44.0482852,29151.0147,1.014002607,241091.0513,2919.361379,607.8346812,60052.66298,1260.422774,209.294838,7149.317552,23083.75504,558.5396765,10698.4614,549.1153473,1251.630804,196.9419506,4691.0811,1274.604656,4076.130734,4003.475199,146.4132678,14.6603605,3379363.383,5.611424652,0.082802559,102.5796244,518.5191252,209.2807657,0.004328182,2089.766673,4166.420335,7.484880357,416642.0335
Swipe,01-07-2021,7.477673896,194.840512,2.714962374,0.003865032,172.7082604,0.767516087,2.035738292,0.006702676,10.11884076,5.79E-05,2.523114397,1.883408067,1490.77163,13.1451693,43.78628982,12.76832361,0.124048676,0.492749311,0.000892317,1.716962033,1.471999609,15.80656122,603.4844381,29611.23848,6.63404359,151.4061015,226.23465,2300.260099,0.61244983,405.3173445,0.014098749,3352.143508,40.59096446,8.451367521,834.9755965,17.52498899,2.910047174,99.40451249,320.9578256,7.76596701,148.7520077,7.634930607,17.40274494,2.738291935,65.22505489,17.72217467,56.67475049,55.66454386,2.035738292,0.203838475,46986.85814,0.078021563,0.001151291,1.426272855,7.209519018,2.909851512,6.02E-05,29.05623311,57.93014218,0.104070197,5793.014218
NEO,01-07-2021,134.8039428,3512.491933,48.94404834,0.069676962,3113.502246,13.83641439,36.69932017,0.120832648,182.4176408,0.001044337,45.48550441,33.95318344,26874.92078,236.9748502,789.3583743,230.1812555,2.23629044,8.883049847,0.01608626,30.95257362,26.53650773,284.9531559,10879.32997,533817.3014,119.5953776,2729.477073,4078.450499,41467.99328,11.04095377,7306.868005,0.254165534,60430.8463,731.7545709,152.3572277,15052.54229,315.9321531,52.46094419,1792.017198,5786.074784,140.0011538,2681.630334,137.6388919,313.7283956,49.36462255,1175.846218,319.4869226,1021.705404,1003.49388,36.69932017,3.674702928,847056.6953,1.406535576,0.020754934,25.7121676,129.9697744,52.45741688,0.001084883,523.811929,1044.337007,1.876127928,104433.7007
NEM,01-07-2021,0.487757805,12.70916353,0.177093051,0.00025211,11.26550892,0.050063959,0.132788251,0.000437206,0.660037282,3.78E-06,0.164579087,0.122851972,97.24086765,0.857440296,2.856116073,0.832859199,0.008091515,0.032141322,5.82E-05,0.111994939,0.096016396,1.031039025,39.36441316,1931.498067,0.432729026,9.876000043,14.75695755,150.0426244,0.039949213,26.43826154,0.000919641,218.6554511,2.647689642,0.551270425,54.46424512,1.143129572,0.189818149,6.484011936,20.93561268,0.506562746,9.702877361,0.498015432,1.13515577,0.178614805,4.254535572,1.155991707,3.696811638,3.630917327,0.132788251,0.013296088,3064.884494,0.005089233,7.51E-05,0.093033706,0.470266452,0.189805387,3.93E-06,1.895295873,3.778699014,0.006788348,377.8699014
